site_id,site_name,district,village,latitude,longitude,site_type,capacity,toilets,child_friendly_space,status,source
ASM_RELOC_001,Gorbhitor High School,Baksa,Gorbhitor,26.567083,91.481806,High School,450,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_002,Gorbhitor ME School,Baksa,Gorbhitor,26.567083,91.481806,Middle School,300,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_003,Dhamdhama College,Baksa,Dhamdhama,26.557361,91.480806,College / Higher Education,850,12,Yes,Designated Major Shelter,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_004,Ghoramara LP School,Baksa,Ghoramara,26.594389,91.486472,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_005,Ghoramara ME School,Baksa,Ghoramara,26.594389,91.486472,Middle School,350,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_006,Nichalamari ME School,Baksa,Nichalamari,26.604611,91.484194,Middle School,300,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_007,Nichalamari Milan High School,Baksa,Nichalamari,26.604778,91.484278,High School,500,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_008,Khagrabari Arunodoi High School,Baksa,Khagrabari,26.62,91.473833,High School,450,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_009,Kadamtala ME/LP School,Baksa,Kadamtala,26.616167,91.479333,School Complex,350,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_010,Jartaluk Sundarpur LP School,Baksa,Jartaluk,26.591194,91.500278,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_011,Swahid Dilip Huzuri LP School,Baksa,Jartaluk,26.595,91.494861,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_012,Baska Thomna College,Baksa,Thomna,26.62225,91.243444,College / Higher Education,750,10,Yes,Designated Major Shelter,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_013,Gyanpeeth Mahavidyalaya,Baksa,Nikashi,26.722278,91.376556,College / Higher Education,800,10,Yes,Designated Major Shelter,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_014,2 No. Lokpala LP School,Baksa,Lokpala,26.624,91.404194,Primary School,200,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_015,Pub Kaurbaha High School,Baksa,Pub Kaurbaha,26.51908,91.694645,High School,550,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_016,Kaurbaha Balika Bidyapith High School,Baksa,Kaurbaha,26.518707,91.646748,Girls High School,450,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_017,Kaurbaha Nava Milan High School,Baksa,Kaurbaha,26.522812,91.669122,High School,500,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_018,92 Bagribari LP School,Baksa,Bagribari,26.504177,91.663222,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_019,175 Pukhuripar LP School,Baksa,Pukhuripar,26.587512,91.703033,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_020,Khatpara LP School,Baksa,Khatpara,26.536895,91.666005,Primary School,200,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_021,Suagpur MV School,Baksa,Suagpur,26.675815,91.705078,Middle Vernacular School,350,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_022,Gurmow High School,Baksa,Gurmow,26.486988,91.688907,High School,550,8,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_023,103 Madaikata JB School,Baksa,Madaikata,26.50597,91.648545,Junior Basic School,300,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_024,87 Dhepargaon LP School,Baksa,Dhepargaon,26.489028,91.64569,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_025,1 No. Suagpur LP School,Baksa,Suagpur,26.65825,91.696413,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_026,Betagaon LP School,Baksa,Betagaon,26.638768,91.689535,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_027,2 No. Uttar Harijora LP School,Baksa,Harijora,26.523392,91.676908,Primary School,250,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_028,Uttar Gesandhibari Bodo LPS,Baksa,Gandhibari,26.624355,91.64036,Primary School,300,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_029,Gandhibari Girls High School,Baksa,Gandhibari,26.585438,91.653087,Girls School,400,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_030,Hiramba ME School,Baksa,Hiramba,26.550543,91.651629,Middle School,350,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_031,Hahkhata Balabari Milan ME School,Baksa,Hahkhata,26.592907,91.521557,Middle School,400,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_032,Teteliguri ME School,Baksa,Teteliguri,26.589198,91.556432,Middle School,350,4,No,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_033,Kadamtala High School (Barama),Baksa,Kadamtala,26.545361,91.386806,High School,550,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_034,Barama Higher Secondary School,Baksa,Barama Town,26.524389,91.351528,Higher Secondary School,800,10,Yes,Designated Major Shelter,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_035,Barama Girls High School,Baksa,Barama Town,26.525139,91.348389,Girls High School,500,8,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_036,Kameshwar Chokraborty High School,Baksa,Barama Rural,26.532,91.312667,High School,450,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_037,Upendra Nath Brahma High School,Baksa,Barama Rural,26.525417,91.326139,High School,500,6,Yes,Designated Relief Camp,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_038,Barama College,Baksa,Barama Town,26.528028,91.367444,College / Higher Education,950,14,Yes,Designated Major Shelter,Baksa DDMP (DDMA Baksa / ASDMA)
ASM_RELOC_039,PR Govt Higher Secondary School,Goalpara,Goalpara Town (Ward 4),26.1754,90.6248,Higher Secondary School,850,12,Yes,Designated Major Shelter,Goalpara DDMP (DDMA Goalpara / ASDMA)
ASM_RELOC_040,Goalpara English High School,Goalpara,Goalpara Town,26.1712,90.6285,High School,500,8,Yes,Designated Relief Camp,Goalpara DDMP (DDMA Goalpara / ASDMA)
